time,x,xdot,theta_rad,theta_deg,thetadot,torque
0.0,-4.666241511586122e-05,-0.023331208154559135,0.0004150499007664621,0.02378060668706894,0.20752495527267456,-3.593120813369751
0.002,-0.00024292423040606081,-0.09813090413808823,0.0018571884138509631,0.10640905052423477,0.7210692763328552,-3.494525194168091
0.004,-0.0005863647093065083,-0.1717202514410019,0.004312700591981411,0.24709953367710114,1.227756142616272,-3.529348134994507
0.006,-0.0010674579534679651,-0.2405465990304947,0.007717782631516457,0.4421963393688202,1.7025409936904907,-3.3851888179779053
0.008,-0.0016802008030936122,-0.30637142062187195,0.012032931670546532,0.689436137676239,2.1575746536254883,-3.316746950149536
0.01,-0.002414097310975194,-0.3669482469558716,0.01718716509640217,0.9847519397735596,2.5771167278289795,-3.1346704959869385
0.012,-0.003246175590902567,-0.4160391688346863,0.023022644221782684,1.319100260734558,2.9177393913269043,-2.6493337154388428
0.014,-0.004122191574424505,-0.4380079507827759,0.029163582250475883,1.6709500551223755,3.070469379425049,-1.4042487144470215
0.016,-0.004994351416826248,-0.43608003854751587,0.03527918457984924,2.021348237991333,3.05780029296875,-0.28378620743751526
0.018000000000000002,-0.005838746204972267,-0.4221973419189453,0.04120495542883873,2.360869884490967,2.9628853797912598,0.29410940408706665
0.02,-0.006640757899731398,-0.40100589394569397,0.04684093967080116,2.6837880611419678,2.8179924488067627,0.6643824577331543
0.022,-0.007400853093713522,-0.38004744052886963,0.05219200626015663,2.9903814792633057,2.675534248352051,0.6839057803153992
0.024,-0.00812368094921112,-0.36141395568847656,0.05729193240404129,3.282585859298706,2.5499629974365234,0.6031410694122314
0.026000000000000002,-0.008810537867248058,-0.3434285819530487,0.062150921672582626,3.5609853267669678,2.4294939041137695,0.5989255309104919
0.028,-0.009463242255151272,-0.32635214924812317,0.06678269058465958,3.8263661861419678,2.3158836364746094,0.5814482569694519
0.03,-0.010089031420648098,-0.3128945529460907,0.07123861461877823,4.081671714782715,2.2279629707336426,0.4336785674095154
0.032,-0.010689356364309788,-0.30016234517097473,0.07552970945835114,4.32753324508667,2.145547389984131,0.41968926787376404
0.034,-0.011263924650847912,-0.28728407621383667,0.07965477555990219,4.563882350921631,2.0625345706939697,0.4463915228843689
0.036000000000000004,-0.011810709722340107,-0.27339276671409607,0.0836004838347435,4.789954662322998,1.972853422164917,0.5145903825759888
0.038,-0.012329562567174435,-0.2594265639781952,0.0873664990067482,5.005731582641602,1.8830060958862305,0.5389683842658997
0.04,-0.01282078493386507,-0.24561117589473724,0.09095557779073715,5.211370468139648,1.7945382595062256,0.5524311661720276
0.042,-0.013283715583384037,-0.23146496713161469,0.09436371922492981,5.406642436981201,1.7040711641311646,0.5885611772537231
0.044,-0.013716120272874832,-0.21620266139507294,0.09757594019174576,5.590689182281494,1.606111764907837,0.6624801158905029
0.046,-0.014117705635726452,-0.20079252123832703,0.10059069842100143,5.763422012329102,1.5073795318603516,0.6909846067428589
0.048,-0.014493316411972046,-0.18780550360679626,0.10344221442937851,5.926802158355713,1.425759196281433,0.5959042906761169
0.05,-0.014843286946415901,-0.17498508095741272,0.10613325983285904,6.080987453460693,1.3455222845077515,0.6060599684715271
0.052000000000000005,-0.015167820267379284,-0.16226650774478912,0.10866566747426987,6.226083755493164,1.2662014961242676,0.6188618540763855
